nf_1098_tab,name,hq_effective_date,status,governing_citation,citation_tier
30,Contracting Officer Determination to Provide Government Property,4/23/2026,planned,[fill from template header],binding
33,FAR & NFS Deviation Request,4/27/2026,planned,[fill from template header],guidance
38,Electronic Document Posting Checklist,4/27/2026,planned,[fill from template header],guidance
54,Total Compensation Plan Fringe Benefits Calculation Tool,6/22/2026,planned,[fill from template header],guidance
54,Enterprise Instructions Evaluation of Total Compensation Plans (TCPs),6/23/2026,planned,[fill from template header],guidance
70,NASA Notification of Procurement Action,8/14/2026,planned,[fill from template header],guidance
77,Preconstruction Orientation Checklist,4/30/2026,planned,[fill from template header],guidance
80,NASA Form (NF) 533 Monthly Analysis,4/21/2026,planned,[fill from template header],guidance
88,Construction Bond Checklist,4/28/2026,planned,[fill from template header],guidance
99,Blanket Purchase Agreement (BPA) Annual Review,4/27/2026,planned,[fill from template header],guidance
Archived,Contractor Work Shutdown Letter template,1/15/2021,planned,[fill from template header],guidance
Archived,Government Shutdown Claims Analysis Memorandum Template,1/15/2021,planned,[fill from template header],guidance
N/A,Enterprise Contracting Officer Warrant Nomination-,5/31/2026,planned,[fill from template header],guidance
N/A,Digital Signature Instructions,4/21/2026,planned,[fill from template header],guidance
N/A,QASP Template for Performance-Based Services Contracts,4/6/2026,planned,[fill from template header],guidance
N/A,Interim Guidance Exceeding 5 years,3/30/2026,planned,[fill from template header],guidance
N/A,SBIR-STTR Phase III CO Checklist,3/5/2026,planned,[fill from template header],guidance
N/A,Notification to SBA of Follow-on Consolidated or Bundled Requirements,4/2/2026,planned,[fill from template header],guidance
N/A,Letter Notification to SB of NASA's Intent to Consolidate or Bundle,4/2/2026,planned,[fill from template header],guidance
N/A,Request for Issuance of a Clause or Provision,4/6/2026,planned,[fill from template header],guidance
N/A,Self-Clearance Template,6/22/2026,planned,[fill from template header],guidance
NA,Contracting Officer Warrant Nomination Other Than 1102-1105,5/31/2026,planned,[fill from template header],guidance
NA,Authorization to Use Government Supply Sources,4/14/2026,planned,[fill from template header],guidance
NA,Contracting Officer Appointment Termination Letter,5/22/2026,planned,[fill from template header],guidance
NA,NASA Enterprise Contracting Officer Appointment Letter,5/22/2026,planned,[fill from template header],guidance
NA,Ratification of Unauthorized Commitments,4/27/2026,planned,[fill from template header],guidance
NA,Request for Provisional Increase in the Estimated Cost,4/23/2026,planned,[fill from template header],guidance
NA,Location of Contract Files prior to NEAR Transition Memo,4/27/2026,planned,[fill from template header],guidance
NA,Closeout Transfer Checklist,6/10/2026,planned,[fill from template header],guidance
099,Contractor Performance Assessment Reporting System (CPARS) Input,4/21/2026,planned,[fill from template header],guidance
DRD,Contract Data Requirements List (AW-DRD),5/1/2026,planned,NFS 1852 / DRD program,guidance
DRD,Data Requirements Description (DRD) Template,5/1/2026,planned,NFS 1852 / DRD program,guidance
DRD,UMRDI DRD,6/15/2026,planned,NFS 1852 / DRD program,guidance
DRD,OCI Plan DRD,5/1/2026,planned,NFS 1852 / DRD program,guidance
DRD,Supply Chain Visibility (SCV) Reporting DRD,7/1/2024,planned,NFS 1852 / DRD program,guidance
